year,international,financial_aid,enroll,allowed_return,petition,on_campus,location_off_campus,semesters_off,semester_off_plans,enroll_percent_1,enroll_percent_2,on_campus_percent_1,opinion_eligibility,opinion_precautions,percent_infected_1,address_concerns_1,address_concerns_2,address_concerns_3,address_concerns_4,address_concerns_5,address_concerns_6,support_financial_ai,rating_overall_1,other_school,other_school_23_TEXT
2022,No,Yes,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,60,40,Allows too few students back on campus,Don't know enough to say,20,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2023,Yes,Yes,Extremely likely,Extremely likely,Yes,Extremely likely,,,,90,92,45,Just right,Too few precautionary measures taken,15,Very well,Somewhat poorly ,Very well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,4,Other (please specify),Columbia
2021,No,Yes,Extremely likely,Extremely likely,Yes,Extremely likely,,,,52,61,21,Just right,Don't know enough to say,50,Very well,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat well,Agree with the policy,7,Don't know enough to say,
2022,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,74,60,51,Just right,Don't know enough to say,10,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Princeton,
2022,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,60,50,60,Just right,Just right,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,"Policy is not individualized enough,Agree with the policy",9,Don't know enough to say,
2022,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,75,80,20,Allows too few students back on campus,Don't know enough to say,36,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,4,Cornell,
2024,No,No,Somewhat unlikely,,,Somewhat unlikely,,Fall and Spring,Internship/Industry Work,80,60,35,Allows too few students back on campus,Too many precautionary measures taken,20,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,4,Cornell,
2023,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,55,65,30,Don't know enough to say,Just right,80,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very well,Agree with the policy,7,Yale,
2021,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,75,80,40,Just right,Too many precautionary measures taken,20,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,5,Don't know enough to say,
2023,No,No,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,Fall and Spring,Research,70,60,30,Allows too few students back on campus,Just right,25,Very poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat well,,5,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,65,79,62,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Not enough money provided to off-campus students,3,Don't know enough to say,
2021,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,63,78,42,Allows too few students back on campus,Too many precautionary measures taken,53,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Cornell,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,Fall and Spring,Internship/Industry Work,60,70,70,Allows too few students back on campus,Don't know enough to say,10,Very well,Very well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,4,Don't know enough to say,
2021,No,Yes,Extremely likely,Somewhat likely,Yes,Somewhat likely,Living with Harvard friends,,,82,75,20,"Number is just right, but it should be a different cohort in the Fall",Just right,1,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,MIT,
2021,No,No,Extremely unlikely,,,,,Fall only,Internship/Industry Work,78,81,51,Don't know enough to say,Don't know enough to say,15,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very well,,7,Don't know enough to say,
2021,Yes,Yes,Extremely likely,Somewhat likely,Yes,Somewhat unlikely,Personal Apartment/Home (not with Harvard friends),,,60,50,38,Allows too few students back on campus,Just right,30,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Somewhat poorly ,Policy is not individualized enough,5,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Somewhat unlikely,,,,85,95,10,Don't know enough to say,Just right,50,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Agree with the policy,5,Other (please specify),Stony Brook 
2024,No,Yes,Extremely likely,,,Extremely likely,,,,85,73,39,Allows too few students back on campus,Just right,7,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat well,"Policy is not individualized enough,Agree with the policy",7,Stanford,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,60,65,45,Don't know enough to say,Don't know enough to say,25,Somewhat well,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very well,Policy is not individualized enough,8,Don't know enough to say,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Family Home,,Internship/Industry Work,75,70,5,Allows too few students back on campus,Too many precautionary measures taken,50,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Other (please specify),Columbia
2021,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,73,82,31,Don't know enough to say,Don't know enough to say,35,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,3,Don't know enough to say,
2022,No,No,Somewhat likely,Somewhat unlikely,Yes,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,75,50,Allows too few students back on campus,Just right,20,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Cornell,
2021,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,75,90,35,Just right,Just right,29,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",8,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,68,53,85,Allows too few students back on campus,Just right,20,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Somewhat well,Somewhat well,Policy is not individualized enough,6,Don't know enough to say,
2023,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,Fall and Spring,Internship/Industry Work,85,90,35,Just right,Don't know enough to say,5,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Don't know enough to say,
2021,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,60,50,40,Just right,Just right,20,Very well,Somewhat well,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,8,Don't know enough to say,
2023,No,No,Extremely likely,Extremely unlikely,No,,Other,,,90,80,50,Just right,Just right,20,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,8,Don't know enough to say,
2022,No,No,Somewhat unlikely,Somewhat likely,No,Extremely unlikely,Personal Apartment/Home (not with Harvard friends),Fall and Spring,Internship/Industry Work,75,65,35,Don't know enough to say,Just right,30,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,4,Stanford,
2024,No,Yes,Extremely likely,,,Extremely unlikely,,,,70,60,25,Just right,Too many precautionary measures taken,20,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat well,Somewhat poorly ,Very well,Agree with the policy,7,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,25,70,26,Allows too few students back on campus,Too many precautionary measures taken,49,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,3,Dartmouth,
2021,Yes,Yes,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,70,85,31,Just right,Just right,20,Very well,Very well,Somewhat well,Very well,Very well,Very well,Agree with the policy,8,MIT,
2022,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,60,60,40,Just right,Just right,4,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Somewhat well,Agree with the policy,8,Other (please specify),None. You can’t compare to universities in different situations. 
2024,No,Yes,Extremely likely,,,Extremely likely,,,,86,90,25,Just right,Too many precautionary measures taken,10,Very well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very well,Agree with the policy,7,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,85,90,40,Don't know enough to say,Just right,5,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,9,Don't know enough to say,
2021,No,Yes,Extremely likely,Somewhat likely,Yes,Extremely likely,Living with Harvard friends,,,75,70,40,Allows too few students back on campus,Just right,40,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Yale,
2022,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,80,60,40,Allows too few students back on campus,Don't know enough to say,32,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Yale,
2021,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,72,50,40,Just right,Just right,50,Very well,Very well,Very well,Very well,Very well,Very well,Agree with the policy,9,Don't know enough to say,
2022,No,Yes,Extremely likely,Somewhat likely,No,Extremely likely,Family Home,,,60,60,40,Allows too few students back on campus,Just right,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,"Policy is not individualized enough,Agree with the policy",6,Don't know enough to say,
2021,No,No,Extremely likely,Somewhat unlikely,No,,Family Home,,,70,80,20,Allows too few students back on campus,Too many precautionary measures taken,15,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,3,Yale,
2021,No,Yes,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,75,90,29,Don't know enough to say,Just right,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,7,Don't know enough to say,
2024,No,No,Somewhat unlikely,,,Extremely likely,,Fall and Spring,Other,95,80,23,"Number is just right, but it should be a different cohort in the Fall",Too few precautionary measures taken,25,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,6,Don't know enough to say,
2022,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Family Home,Fall only,Internship/Industry Work,76,60,25,Don't know enough to say,Don't know enough to say,25,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,5,Don't know enough to say,
2021,No,Yes,Somewhat unlikely,Somewhat likely,Yes,Somewhat likely,Family Home,Fall only,Research,71,50,50,Allows too few students back on campus,Too many precautionary measures taken,8,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very well,Not enough money provided to off-campus students,3,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,35,85,35,Allows too few students back on campus,Too many precautionary measures taken,3,Very well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,3,Cornell,
2023,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,85,90,40,Just right,Just right,40,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,8,MIT,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,92,100,35,Don't know enough to say,Just right,8,Somewhat poorly ,Somewhat well,Somewhat well,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,8,Northeastern,
2021,No,Prefer not to say,Extremely unlikely,,,,,Fall and Spring,Research,50,60,40,Allows too few students back on campus,Too many precautionary measures taken,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,1,Yale,
2021,No,No,Extremely unlikely,,,,,Fall only,Research,65,85,40,Just right,Just right,41,,,,,,,Policy is not individualized enough,7,Don't know enough to say,
2021,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,70,80,40,Just right,Just right,15,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,5,Yale,
2022,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,65,50,38,Allows too few students back on campus,Too many precautionary measures taken,15,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Duke,
2021,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,70,30,Just right,Just right,50,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,9,Don't know enough to say,
2023,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,84,75,39,Allows too few students back on campus,Too many precautionary measures taken,29,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,1,Cornell,
2023,Yes,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,71,53,25,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,16,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,3,Cornell,
2021,No,Yes,Extremely likely,Somewhat unlikely,No,,Family Home,,,70,65,48,Don't know enough to say,Don't know enough to say,70,,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,"Policy is not individualized enough,Agree with the policy",7,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Somewhat likely,,,,85,80,32,Don't know enough to say,Too few precautionary measures taken,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",8,Don't know enough to say,
2022,No,Yes,Somewhat likely,Extremely unlikely,Yes,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,60,30,"Number is just right, but it should be a different cohort in the Fall",Just right,40,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Yale,
2023,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,88,84,54,Allows too many students back on campus,Just right,6,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2021,Yes,Yes,Extremely likely,Somewhat likely,No,Somewhat unlikely,Living with Harvard friends,,,67,60,40,Don't know enough to say,Just right,15,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Personal Apartment/Home (not with Harvard friends),,,56,64,30,Allows too few students back on campus,Just right,40,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very well,Not enough money provided to off-campus students,4,Cornell,
2022,No,Prefer not to say,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Research,61,71,20,Just right,Don't know enough to say,50,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,8,Don't know enough to say,
2022,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,44,39,Allows too few students back on campus,Don't know enough to say,29,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,92,97,30,Just right,Just right,5,Somewhat well,Somewhat well,Very well,Somewhat well,Somewhat poorly ,Very well,Policy is not individualized enough,9,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,75,80,40,Don't know enough to say,Just right,5,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Don't know enough to say,
2022,No,No,Extremely likely,Extremely unlikely,Yes,,Living with Harvard friends,,,75,60,50,Allows too few students back on campus,Too many precautionary measures taken,25,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,3,Cornell,
2021,No,Yes,Extremely likely,Somewhat likely,No,Extremely unlikely,Living with Harvard friends,,,60,60,18,Allows too few students back on campus,Too many precautionary measures taken,12,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,5,Princeton,
2024,No,No,Somewhat unlikely,,,Somewhat likely,,Fall and Spring,Travel,61,74,82,Don't know enough to say,Too many precautionary measures taken,1,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,,4,Don't know enough to say,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,Fall and Spring,Internship/Industry Work,75,70,40,Allows too few students back on campus,Just right,25,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,5,Stanford,
2021,No,No,Extremely likely,Somewhat unlikely,Yes,,Family Home,,,60,80,40,Allows too few students back on campus,Just right,5,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,3,Other (please specify),"Brown, Columbia"
2023,No,No,Extremely likely,,,,Family Home,,,70,80,40,Allows too few students back on campus,Too many precautionary measures taken,70,,,,,,,,,,
2021,No,Yes,Extremely likely,Somewhat likely,Yes,Somewhat likely,Living with Harvard friends,,,64,49,40,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,15,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,4,MIT,
2022,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,87,82,34,Just right,Just right,25,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2022,No,No,Somewhat unlikely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,60,39,Allows too few students back on campus,Too many precautionary measures taken,10,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,3,Stanford,
2021,Yes,No,Somewhat likely,Extremely unlikely,No,,Other,,,40,35,30,Don't know enough to say,Don't know enough to say,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,5,Don't know enough to say,
2021,No,Yes,Somewhat likely,Somewhat unlikely,Yes,,Living with Harvard friends,Fall only,Chill at home,60,25,30,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,80,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Yale,
2023,Yes,Yes,Extremely likely,Somewhat unlikely,No,,Family Home,,,100,100,30,Just right,Too few precautionary measures taken,8,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Agree with the policy,8,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,91,97,50,Allows too few students back on campus,Don't know enough to say,50,Very well,Very well,Very well,Somewhat well,Somewhat well,Somewhat well,Agree with the policy,6,Don't know enough to say,
2023,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,65,55,Don't know enough to say,Just right,50,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Duke,
2022,No,Yes,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,77,61,40,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,20,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,5,Yale,
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,65,25,Allows too few students back on campus,Too few precautionary measures taken,40,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Duke,
2023,No,Yes,Somewhat unlikely,Somewhat likely,Yes,Somewhat unlikely,Family Home,Fall only,Internship/Industry Work,76,76,20,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,14,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Other (please specify),Brown
2021,No,Yes,Extremely likely,,No,,Living with Harvard friends,,,50,70,39,Just right,Just right,29,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,9,Don't know enough to say,
2024,Yes,Yes,Extremely likely,,,Extremely likely,,,,90,97,50,Just right,Just right,20,Very well,Very well,Somewhat well,Somewhat poorly ,Somewhat well,Very well,Agree with the policy,9,Don't know enough to say,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,,Internship/Industry Work,80,71,20,Allows too few students back on campus,Just right,37,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,4,Cornell,
2023,Yes,Yes,Extremely likely,Extremely unlikely,No,,Other,,,80,90,45,Allows too few students back on campus,Just right,20,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,6,Princeton,
2023,No,No,Extremely likely,Extremely unlikely,Yes,,Personal Apartment/Home (not with Harvard friends),,,85,75,50,Allows too few students back on campus,Don't know enough to say,30,Somewhat well,Somewhat poorly ,Somewhat well,Very poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Princeton,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,Fall and Spring,Chill at home,80,95,50,Just right,Too many precautionary measures taken,20,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Cornell,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,60,80,25,Just right,Don't know enough to say,21,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat well,"Policy is not individualized enough,Agree with the policy",7,Dartmouth,
2022,No,No,Extremely likely,Somewhat unlikely,No,,Personal Apartment/Home (not with Harvard friends),,,61,68,38,"Number is just right, but it should be a different cohort in the Fall",Just right,25,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,7,Princeton,
2024,Yes,Yes,Extremely likely,,,Somewhat unlikely,,,,90,72,40,Just right,Just right,5,Very well,,,Somewhat well,,,,6,Don't know enough to say,
2023,No,Yes,Extremely likely,Somewhat unlikely,No,,Family Home,,,60,60,30,Allows too few students back on campus,Don't know enough to say,35,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,3,Yale,
2024,No,No,Somewhat unlikely,,,Somewhat unlikely,,Fall and Spring,Travel,90,85,20,Allows too few students back on campus,Just right,50,Very poorly ,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,2,Don't know enough to say,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Volunteering,47,46,4,Allows too few students back on campus,Don't know enough to say,,,,,,,,,,,
2021,No,Yes,Extremely likely,Somewhat unlikely,No,,Other,,,50,71,31,Just right,Don't know enough to say,7,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,,Agree with the policy,9,Yale,
2024,No,Yes,Somewhat likely,,,Somewhat unlikely,,Fall only,Internship/Industry Work,80,93,80,Allows too few students back on campus,Too many precautionary measures taken,30,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Very poorly ,Policy is not individualized enough,4,MIT,
2021,Yes,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,40,30,30,Don't know enough to say,Don't know enough to say,10,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,6,Don't know enough to say,
2022,Yes,No,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Research,40,30,20,Allows too few students back on campus,Don't know enough to say,20,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Don't know enough to say,
2022,Yes,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,69,85,38,Allows too few students back on campus,Don't know enough to say,14,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,2,Yale,
2023,Yes,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,90,80,40,Just right,Don't know enough to say,4,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very well,Not enough money provided to off-campus students,8,Don't know enough to say,
2021,No,Yes,Somewhat likely,Somewhat likely,Yes,Extremely likely,Living with Harvard friends,Fall only,Research,81,77,51,Allows too few students back on campus,Don't know enough to say,11,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,6,MIT,
2022,No,No,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,,,67,55,35,Allows too few students back on campus,Don't know enough to say,33,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Stanford,
